SiO2,Al2O3,Fe2O3tot,CaO,Total,Ti,Rb,Nb,La,Ce,Sm,Yb,LaN,CeN,SmN,YbN,La/Nb,Rb/Sm,Nb/La,Nb/Yb,Nb/Rb,La/Sm,La/Yb,(La/Yb)N,Sm/Yb,(Sm/Yb)N,SiO2(LOI free),TiO2(LOI free),Al2O3(LOI free),Fe2O3(LOI free),MgO(LOI free),CaO(LOI free),Na2O(LOI free),Label,Id
49.98,17.02,7.33,12.61,99.59,5995.0,19.0,13.0,15.0,31.0,4.2,2.99,46.8,38.4,21.7,14.3,1.1,4.54,0.9,4.35,0.68,3.4,4.8,3.3,1.41,1.52,50.64,1.01,17.24,7.43,7.56,12.78,2.72,1,744
45.6,12.3,9.3,11.0,98.74,8273.0,57.0,37.0,97.0,178.0,10.2,1.9,312.3,220.3,52.3,9.1,2.6,5.6,0.38,19.47,0.64,9.5,50.9,34.3,5.4,5.8,46.58,1.41,12.56,9.5,11.64,11.24,3.68,2,1280
57.08,17.25,8.05,6.09,100.46,7434.0,40.0,21.0,59.0,120.0,7.2,2.2,190.3,148.5,36.9,10.5,2.8,5.56,0.36,9.55,0.53,8.2,26.8,18.1,3.27,3.51,56.97,1.24,17.22,8.03,2.29,6.08,4.52,2,542
55.9,19.15,2.73,2.26,98.08,2518.0,311.0,10.0,32.0,60.0,4.9,2.0,102.6,74.0,25.1,9.6,3.3,63.5,0.3,4.8,0.03,6.5,15.9,10.7,2.5,2.6,58.85,0.44,20.16,2.87,0.81,2.38,4.38,0,2375
64.1,15.4,3.26,4.02,97.76,3357.2,76.0,19.0,45.0,76.0,3.8,0.8,145.8,94.2,19.5,3.8,2.4,20.05,0.42,23.75,0.25,11.89,56.5,38.09,4.75,5.09,66.87,0.58,16.07,3.4,0.0,4.19,4.9,2,2021
63.32,18.43,3.15,1.02,99.25,5156.0,39.0,7.0,5.0,11.0,1.5,0.62,15.8,13.2,7.8,3.0,0.7,25.59,1.35,10.65,0.17,3.2,7.9,5.3,2.45,2.63,63.99,0.87,18.62,3.18,0.09,1.03,6.29,1,761
53.61,18.1,9.53,8.64,99.79,6834.0,22.0,6.0,11.0,24.0,3.3,2.32,35.5,29.6,16.9,11.1,1.9,6.8,0.53,2.5,0.26,3.3,4.7,3.2,1.4,1.5,53.86,1.15,18.18,9.57,3.84,8.68,3.47,0,2835
56.4,16.87,6.31,7.52,99.88,3957.0,61.0,9.0,19.0,36.0,3.1,1.79,61.3,44.7,15.9,8.6,2.2,19.5,0.45,4.75,0.14,6.1,10.6,7.2,1.7,1.9,57.29,0.67,17.14,6.41,4.9,7.64,3.66,0,1893
46.7,14.5,10.3,10.8,100.32,8452.95,29.0,26.0,59.0,117.0,7.4,2.4,191.3,145.0,38.0,11.5,2.3,3.87,0.43,10.63,0.89,8.0,24.71,16.66,3.09,3.31,47.21,1.43,14.66,10.41,10.03,10.92,3.0,2,2658
61.4,15.9,6.45,3.83,99.51,7194.0,66.0,29.0,32.0,63.0,5.9,3.6,103.5,77.7,30.3,17.2,1.1,11.17,0.9,8.06,0.44,5.4,8.9,6.0,1.64,1.76,62.24,1.22,16.12,6.54,1.55,3.88,5.07,1,456
66.5,14.1,5.95,3.12,100.91,3717.0,148.0,14.0,25.0,49.0,5.0,2.95,80.0,60.3,25.5,14.1,1.8,29.8,0.55,4.61,0.09,5.0,8.4,5.7,1.7,1.8,67.51,0.63,14.31,6.04,0.26,3.17,2.82,1,2442
56.86,16.87,8.74,5.35,101.31,5156.0,76.0,6.0,11.0,24.0,4.0,3.08,34.5,29.5,20.7,14.7,1.8,18.7,0.56,1.95,0.08,2.6,3.5,2.3,1.3,1.4,57.86,0.88,17.17,8.9,3.4,5.44,3.24,1,2640
68.52,12.98,4.98,1.22,99.16,3597.0,76.0,15.0,54.0,86.0,6.3,3.97,172.9,106.3,32.3,19.0,3.6,12.0,0.27,3.7,0.19,8.5,13.5,9.1,1.6,1.7,69.58,0.61,13.18,5.06,2.02,1.24,5.4,0,1517
63.67,17.1,4.9,5.43,101.77,3117.0,53.0,5.0,23.0,43.0,3.1,0.59,73.5,53.5,15.7,2.8,4.6,17.4,0.22,8.47,0.09,7.5,38.6,26.1,5.2,5.6,63.43,0.52,17.04,4.88,1.74,5.41,4.3,0,2946
65.0,16.4,3.89,4.4,98.64,2578.0,32.0,5.0,23.0,44.0,3.5,0.68,74.2,54.8,17.7,3.3,4.9,9.3,0.2,6.91,0.15,6.6,33.8,22.8,5.1,5.5,66.09,0.44,16.68,3.95,1.06,4.47,5.17,2,1263
47.98,17.54,8.63,8.1,100.16,9952.0,25.0,42.0,25.0,48.0,4.4,2.16,80.9,59.5,22.7,10.3,0.6,5.7,1.68,19.53,1.68,5.7,11.6,7.8,2.05,2.19,49.64,1.72,18.15,8.93,6.95,8.38,3.82,1,861
55.87,16.79,6.35,7.32,99.29,3597.0,30.0,4.0,11.0,24.0,3.3,1.76,35.0,29.6,16.8,8.4,2.7,9.3,0.37,2.27,0.13,3.3,6.2,4.2,1.86,1.99,59.0,0.63,17.73,6.71,3.47,7.73,3.09,0,331
57.6,17.1,7.0,6.1,99.25,4616.0,154.0,13.0,32.0,62.0,5.4,1.8,103.2,76.7,27.7,8.6,2.5,28.5,0.41,7.22,0.08,5.9,17.8,12.0,3.0,3.2,58.21,0.78,17.28,7.07,2.23,6.16,3.23,1,2496
42.05,12.59,9.79,13.71,99.16,10012.0,38.0,50.0,150.0,269.0,15.3,1.9,484.2,333.3,78.5,9.1,3.0,2.5,0.33,26.05,1.3,9.8,79.0,53.3,8.05,8.63,43.09,1.71,12.9,10.03,11.6,14.05,4.41,1,229
50.49,14.57,9.29,8.93,98.05,6954.0,1.0,2.0,3.0,9.0,2.9,2.66,9.7,11.4,15.0,12.7,1.4,0.2,0.7,0.79,4.2,1.0,1.1,0.8,1.1,1.2,52.1,1.2,15.04,9.59,8.22,9.22,4.19,1,1991
54.08,16.96,9.34,8.63,100.67,6541.0,26.0,6.0,11.0,24.0,3.4,2.4,36.1,29.6,17.2,11.5,1.9,7.81,0.53,2.48,0.23,3.3,4.7,3.1,1.4,1.5,54.41,1.1,17.06,9.4,4.35,8.68,3.66,0,317
63.2,16.11,5.32,3.64,100.34,3057.0,11.0,21.0,13.0,32.0,3.2,2.57,43.5,39.0,16.4,12.3,0.7,3.5,1.53,8.04,1.84,4.2,5.2,3.5,1.2,1.3,63.39,0.51,16.16,5.34,2.27,3.65,3.27,1,2083
63.1,16.31,2.97,2.76,98.77,2458.0,147.0,10.0,51.0,99.0,5.7,0.94,164.8,122.6,29.3,4.5,5.2,25.7,0.19,10.43,0.07,8.9,54.4,36.7,6.1,6.5,66.51,0.43,17.19,3.13,0.2,2.91,4.09,0,2344
65.8,14.9,4.64,3.87,100.53,3957.0,132.0,14.0,26.0,53.0,5.7,3.66,84.2,66.0,29.2,17.5,1.9,23.2,0.54,3.83,0.11,4.6,7.1,4.8,1.6,1.7,67.19,0.67,15.21,4.74,0.33,3.95,2.98,1,2443
62.84,14.43,3.68,4.88,99.8,2878.0,57.0,6.0,18.0,34.0,3.1,1.13,58.1,42.1,15.8,5.4,3.2,18.5,0.32,5.04,0.1,5.8,15.9,10.7,2.7,2.9,65.32,0.5,15.0,3.83,3.04,5.07,3.93,1,1703
40.76,13.01,13.45,11.63,99.36,12470.0,24.0,93.0,94.0,182.0,11.7,1.58,302.6,225.2,59.9,7.6,1.0,2.06,0.99,58.54,3.84,8.03,59.37,40.02,7.39,7.92,41.65,2.13,13.29,13.74,9.53,11.88,4.75,2,1435
67.8,14.4,4.44,0.77,98.79,3357.0,238.0,18.0,36.0,79.0,8.3,5.68,116.1,97.8,42.6,27.2,2.0,28.7,0.5,3.17,0.08,4.3,6.3,4.3,1.5,1.6,69.23,0.57,14.7,4.53,0.81,0.79,3.95,0,1684
61.87,16.17,5.26,5.16,99.45,3417.0,91.0,16.0,58.0,92.0,5.0,2.2,187.1,113.9,25.6,10.5,3.6,18.2,0.28,7.27,0.18,11.6,26.4,17.8,2.3,2.4,62.4,0.57,16.31,5.31,2.28,5.2,3.85,1,2062
54.05,20.45,6.2,5.6,100.77,4556.0,91.0,14.0,32.0,69.0,4.9,2.42,101.6,85.0,25.1,11.6,2.3,18.57,0.44,5.79,0.15,6.4,13.0,8.8,2.02,2.17,54.56,0.77,20.64,6.26,2.28,5.65,4.23,1,580
66.43,17.04,2.82,3.88,99.41,2517.9,63.0,9.0,24.0,40.0,2.4,0.73,78.7,49.8,12.1,3.5,2.7,26.69,0.37,12.33,0.14,10.34,33.42,22.53,3.23,3.46,68.09,0.43,17.47,2.89,1.34,3.98,3.64,2,2564
52.72,15.83,5.91,7.84,99.6,6535.0,66.0,25.0,77.0,142.0,7.6,0.9,249.0,175.7,39.0,4.3,3.1,8.68,0.32,27.56,0.38,10.2,85.8,57.8,8.44,9.05,55.07,1.14,16.54,6.17,5.03,8.19,4.43,1,793
67.8,15.7,3.2,2.7,99.89,2518.0,193.0,16.0,29.0,57.0,4.5,1.46,94.5,70.5,22.8,7.0,1.8,43.4,0.56,11.16,0.08,6.6,20.1,13.5,3.0,3.3,68.17,0.42,15.79,3.22,0.85,2.71,2.92,1,2483
51.03,16.91,10.52,9.0,100.39,9352.0,21.0,13.0,20.0,42.0,5.2,2.8,65.8,52.1,26.7,13.4,1.5,4.04,0.66,4.79,0.64,3.9,7.3,4.9,1.86,1.99,50.76,1.55,16.82,10.46,5.72,8.95,3.99,2,510
67.13,16.42,3.49,3.74,100.42,2518.0,59.0,5.0,21.0,40.0,3.1,0.77,68.6,49.1,16.1,3.7,4.0,18.94,0.25,6.83,0.09,6.8,27.6,18.6,4.08,4.37,67.39,0.42,16.48,3.51,1.09,3.75,4.95,0,343
56.9,19.81,10.57,5.52,103.32,5336.0,91.0,5.0,23.0,45.0,4.8,2.45,74.2,55.7,24.6,11.7,4.9,19.0,0.2,1.9,0.05,4.8,9.4,6.3,2.0,2.1,55.92,0.87,19.47,10.39,2.43,5.42,3.26,0,1623
43.36,16.68,10.58,12.84,100.63,6415.0,11.0,3.0,5.0,11.0,2.6,2.89,16.1,13.9,13.1,13.8,1.8,4.16,0.56,0.97,0.26,2.0,1.7,1.2,0.88,0.95,46.2,1.14,17.77,11.27,4.75,13.68,3.84,1,644
47.57,13.96,9.66,8.09,99.29,10431.0,47.0,53.0,102.0,201.0,11.6,1.68,329.0,248.8,59.4,8.0,1.9,4.06,0.52,31.55,1.13,8.8,60.7,40.9,6.9,7.39,49.0,1.79,14.38,9.95,8.47,8.33,3.81,2,1
54.83,16.79,8.61,7.48,99.46,4496.0,42.0,3.0,13.0,28.0,3.7,2.39,42.6,34.0,18.7,11.4,4.4,11.51,0.23,1.26,0.07,3.6,5.5,3.7,1.53,1.64,55.72,0.76,17.06,8.75,4.2,7.6,3.32,1,849
51.2,16.2,8.47,7.02,98.55,4077.0,126.0,13.0,46.0,84.0,8.0,2.48,147.2,103.9,41.0,11.9,3.5,15.8,0.29,5.32,0.1,5.7,18.4,12.4,3.2,3.5,52.69,0.7,16.67,8.72,3.57,7.22,3.7,1,1373
60.98,15.5,6.6,5.01,98.51,4256.0,111.0,13.0,27.0,53.0,5.4,3.1,87.1,65.7,27.7,14.8,2.0,20.56,0.49,4.26,0.12,5.0,8.7,5.9,1.74,1.87,61.9,0.72,15.73,6.7,2.7,5.09,3.03,1,119
72.01,14.26,2.33,2.33,98.88,1319.0,111.0,8.0,25.0,52.0,4.1,2.5,80.6,64.1,21.0,12.0,3.2,27.0,0.32,3.16,0.07,6.1,10.0,6.7,1.6,1.8,72.83,0.22,14.42,2.36,0.64,2.36,4.21,0,2149
59.15,19.23,3.53,2.5,96.63,3207.0,204.0,13.0,57.0,105.0,7.2,1.31,183.9,129.8,36.8,6.3,4.4,28.3,0.23,9.92,0.06,7.9,43.6,29.4,5.5,5.9,61.95,0.56,20.13,3.69,1.34,2.62,3.82,0,2430
47.18,16.95,9.44,5.86,99.31,7194.0,95.0,13.0,19.0,36.0,3.9,1.63,62.1,44.9,19.8,7.8,1.5,24.6,0.66,7.78,0.13,5.0,11.8,8.0,2.4,2.5,50.5,1.28,18.14,10.1,4.91,6.27,4.01,1,1802
59.61,16.44,4.19,3.38,100.08,5515.0,125.0,61.0,84.0,127.0,5.4,0.77,271.6,157.4,27.5,3.7,1.4,23.2,0.72,78.83,0.49,15.7,109.4,73.7,6.97,7.47,62.73,0.97,17.3,4.41,1.34,3.56,4.79,2,12
51.15,15.31,9.08,7.7,100.91,6595.0,99.0,11.0,32.0,61.0,5.5,3.2,102.8,75.7,28.4,15.3,2.9,17.9,0.35,3.44,0.11,5.8,10.0,6.7,1.7,1.9,53.4,1.15,15.98,9.48,2.89,8.04,3.96,1,2901
41.27,11.4,11.04,13.62,100.58,15437.13,24.0,73.0,195.0,376.0,19.8,1.4,629.03,465.35,101.54,6.7,2.67,1.21,0.37,52.14,3.04,9.85,139.29,93.91,14.14,15.16,42.35,2.64,11.7,11.33,11.48,13.98,4.26,2,3024
58.77,15.6,7.78,5.39,98.5,7314.0,121.0,21.0,46.0,88.0,8.5,3.8,146.8,108.3,43.6,18.2,2.2,14.24,0.46,5.53,0.17,5.4,12.0,8.1,2.24,2.4,59.66,1.24,15.84,7.9,1.84,5.47,3.29,1,84
61.6,15.9,2.15,4.78,94.25,3417.0,146.0,20.0,32.0,62.0,5.4,2.88,102.9,76.4,27.6,13.8,1.6,27.1,0.62,6.88,0.14,5.9,11.1,7.5,1.9,2.0,65.36,0.6,16.87,2.28,1.78,5.07,3.69,1,1172
56.24,16.9,9.35,6.59,99.51,5096.0,28.0,5.0,15.0,29.0,3.9,2.4,48.4,35.9,20.0,11.5,3.3,7.2,0.31,1.92,0.16,3.8,6.3,4.2,1.6,1.7,56.93,0.86,17.11,9.47,3.56,6.67,4.23,1,2041
42.49,14.24,14.02,11.65,99.08,32793.0,21.0,28.0,11.0,23.0,3.4,1.2,34.8,29.0,17.2,5.7,0.4,6.3,2.59,23.33,1.33,3.2,9.0,6.1,2.8,3.0,43.17,5.56,14.47,14.24,7.1,11.84,2.37,1,2194
69.2,15.6,1.96,2.32,99.75,2218.0,143.0,6.0,22.0,40.0,2.5,0.58,70.3,49.3,12.9,2.8,3.6,56.7,0.28,10.34,0.04,8.7,37.6,25.3,4.3,4.7,70.24,0.38,15.83,1.99,1.02,2.35,3.65,1,1119
68.34,15.31,3.76,2.64,101.68,2338.0,80.0,16.0,37.0,78.0,2.7,0.52,119.4,96.2,14.0,2.5,2.3,29.2,0.44,30.96,0.2,13.6,71.2,48.0,5.3,5.6,68.02,0.39,15.24,3.74,1.19,2.63,4.7,1,2102
58.2,15.0,8.14,7.88,99.57,3477.0,61.0,21.0,25.0,53.0,5.2,3.22,79.0,66.1,26.7,15.4,1.2,11.6,0.86,6.52,0.35,4.7,7.6,5.1,1.6,1.7,59.19,0.59,15.25,8.28,2.09,8.01,5.18,0,1509
55.22,20.22,10.23,3.02,102.82,5575.0,135.0,3.0,15.0,25.0,2.4,1.51,48.4,30.9,12.4,7.2,4.8,55.8,0.21,2.05,0.02,6.2,9.9,6.7,1.6,1.7,54.8,0.92,20.07,10.15,3.86,3.0,3.89,0,1622
66.85,15.96,4.44,4.15,99.71,2898.35,31.0,8.0,26.0,51.0,4.3,2.44,84.2,63.6,22.3,11.7,3.3,7.19,0.3,3.21,0.25,6.02,10.71,7.22,1.78,1.91,67.47,0.49,16.11,4.48,1.39,4.19,4.61,1,1043
41.31,12.91,13.7,10.66,99.41,12470.0,21.0,91.0,89.0,180.0,11.1,1.51,288.1,222.9,56.7,7.2,1.0,1.88,1.02,60.4,4.38,8.07,59.14,39.87,7.32,7.85,41.68,2.1,13.03,13.82,9.75,10.76,5.3,2,1440
57.2,17.0,7.2,5.5,99.3,3477.0,181.0,14.0,34.0,67.0,5.9,1.8,110.0,82.9,30.3,8.6,2.4,30.6,0.41,7.83,0.08,5.8,18.9,12.8,3.3,3.5,57.92,0.59,17.22,7.29,2.94,5.57,3.24,1,2493
57.6,15.1,5.79,7.5,100.88,2458.0,120.0,9.0,20.0,40.0,4.1,2.53,65.5,50.0,21.0,12.1,2.2,29.3,0.45,3.63,0.08,5.0,8.0,5.4,1.6,1.7,59.27,0.42,15.54,5.96,0.3,7.72,3.6,1,2454
55.67,18.64,7.73,7.7,100.44,5396.0,18.0,5.0,8.0,17.0,3.3,2.42,24.4,21.0,16.7,11.6,1.7,5.6,0.6,1.87,0.25,2.3,3.1,2.1,1.3,1.4,56.15,0.91,18.8,7.8,2.7,7.77,4.5,1,2419
52.25,17.19,10.08,7.21,99.63,9712.0,142.0,16.0,42.0,87.0,4.8,2.09,134.9,107.9,24.4,10.0,2.7,29.7,0.37,7.44,0.11,8.8,20.0,13.5,2.3,2.4,53.85,1.67,17.72,10.39,4.12,7.43,2.36,1,2751
43.0,16.98,11.08,5.7,92.7,15467.0,11.0,47.0,24.0,53.0,5.6,1.9,78.7,66.0,28.7,9.1,0.5,2.0,1.93,24.79,4.13,4.4,12.8,8.7,2.9,3.2,46.46,2.79,18.35,11.97,7.67,6.16,5.33,1,3004
56.28,20.14,7.05,8.12,102.58,3177.0,43.0,4.0,12.0,26.0,2.9,1.45,39.5,31.8,15.1,6.9,3.3,14.68,0.3,2.54,0.09,4.2,8.4,5.7,2.03,2.17,55.7,0.52,19.93,6.98,4.18,8.04,3.05,0,304
76.84,12.11,1.42,0.46,99.74,655.33,240.0,15.0,45.0,90.0,5.5,4.04,146.1,111.7,28.4,19.3,3.0,43.32,0.34,3.78,0.06,8.17,11.2,7.55,1.37,1.47,77.22,0.11,12.17,1.43,0.15,0.46,3.12,1,1025
68.2,16.05,2.06,3.27,99.47,1619.0,44.0,8.0,21.0,33.0,1.7,0.39,68.7,40.5,8.6,1.9,2.8,26.11,0.35,19.23,0.17,12.8,54.6,36.8,4.28,4.59,70.19,0.28,16.52,2.12,0.83,3.37,4.73,0,618
57.82,13.27,7.24,5.74,99.3,4496.0,185.0,9.0,29.0,52.0,4.8,3.0,93.5,64.4,24.6,14.4,3.2,38.5,0.31,3.0,0.05,6.0,9.7,6.5,1.6,1.7,60.54,0.79,13.9,7.58,4.29,6.01,2.06,1,1837
59.39,16.4,6.37,4.81,98.01,4316.0,136.0,16.0,30.0,52.0,4.6,2.4,95.2,64.4,23.6,11.5,1.8,29.46,0.54,6.67,0.12,6.4,12.3,8.3,1.92,2.05,60.6,0.73,16.73,6.5,2.56,4.91,3.29,1,85
65.21,16.3,4.66,3.82,99.71,3206.02,84.0,7.0,25.0,51.0,5.0,2.83,79.6,62.9,25.5,13.6,3.4,16.89,0.29,2.54,0.09,4.95,8.71,5.88,1.76,1.89,65.85,0.54,16.46,4.71,1.42,3.86,4.31,1,1050
61.34,15.29,6.39,3.2,100.14,3837.0,182.0,6.0,24.0,49.0,4.7,2.47,77.7,60.8,23.8,11.8,4.0,39.1,0.25,2.43,0.03,5.2,9.8,6.6,1.9,2.0,62.46,0.65,15.57,6.51,2.39,3.26,2.78,1,2913
51.37,17.4,9.05,8.66,101.3,5743.0,14.0,7.0,13.0,27.0,3.6,2.08,41.1,33.3,18.4,10.0,1.9,3.87,0.53,3.24,0.49,3.6,6.1,4.1,1.72,1.84,52.26,0.97,17.7,9.21,6.23,8.81,3.5,0,295
66.23,16.32,3.1,4.02,99.08,2398.0,55.0,11.0,24.0,43.0,2.5,0.64,77.7,52.8,13.0,3.1,2.3,21.5,0.44,16.72,0.2,9.5,37.7,25.4,4.0,4.3,67.21,0.41,16.56,3.15,1.2,4.08,4.78,0,1777
59.98,16.09,4.84,4.74,100.1,5635.3,127.0,48.0,98.0,179.0,7.7,1.06,316.1,222.0,39.2,5.1,2.1,16.64,0.49,45.09,0.38,12.81,92.45,62.33,7.22,7.74,60.02,0.94,16.1,4.84,2.61,4.74,5.04,2,1850
68.32,15.89,2.09,0.77,100.14,1019.0,153.0,22.0,34.0,59.0,3.5,1.64,110.6,72.8,17.9,7.8,1.5,43.84,0.65,13.6,0.15,9.8,20.9,14.1,2.13,2.28,69.91,0.17,16.26,2.14,0.2,0.79,5.34,1,766
41.9,12.67,9.68,13.8,99.03,10012.0,24.0,51.0,145.0,262.0,15.2,1.9,467.4,324.1,77.9,9.1,2.8,1.6,0.35,26.79,2.09,9.5,76.3,51.4,8.0,8.6,43.33,1.73,13.1,10.01,11.46,14.27,3.74,2,1200
65.5,14.9,2.66,2.04,96.45,1978.0,186.0,39.0,93.0,141.0,4.9,1.6,299.4,174.5,25.1,7.7,2.4,38.0,0.42,24.38,0.21,18.9,58.0,39.1,3.1,3.3,68.22,0.34,15.52,2.77,0.76,2.12,5.52,2,1270
71.39,14.56,1.79,2.53,98.61,1679.0,61.0,2.0,23.0,43.0,2.8,0.44,75.4,53.1,14.3,2.1,9.5,21.86,0.11,5.59,0.04,8.4,53.1,35.8,6.32,6.77,72.54,0.28,14.79,1.82,0.41,2.57,4.7,0,347
57.0,23.9,0.75,7.78,99.99,10072.0,17.0,9.0,13.0,41.0,6.8,6.54,41.3,51.0,34.8,31.3,1.4,2.49,0.73,1.42,0.55,1.9,2.0,1.3,1.04,1.11,57.61,1.7,24.16,0.76,0.31,7.86,7.0,1,248
62.9,15.6,5.13,1.63,98.53,4616.0,383.0,27.0,49.0,96.0,8.1,5.35,158.1,118.8,41.4,25.6,1.8,47.4,0.55,5.05,0.07,6.1,9.2,6.2,1.5,1.6,64.36,0.79,15.96,5.25,0.74,1.67,3.08,0,1696
41.61,12.94,10.03,14.29,99.66,10251.0,236.0,51.0,145.0,266.0,15.4,1.9,466.5,329.6,79.0,9.1,2.8,15.32,0.35,26.95,0.22,9.4,76.1,51.3,8.11,8.69,42.85,1.76,13.33,10.33,11.84,14.72,2.91,1,227
51.46,18.43,7.17,7.14,100.1,4976.0,122.0,16.0,34.0,59.0,5.0,1.74,108.4,72.5,25.5,8.3,2.1,24.5,0.49,9.4,0.13,6.7,19.3,13.0,2.9,3.1,52.3,0.84,18.73,7.29,5.06,7.26,2.79,1,1805
52.89,16.93,7.29,10.25,100.19,5407.49,4.0,4.0,11.0,24.0,3.5,2.5,34.8,29.3,17.9,12.0,2.7,1.14,0.37,1.6,1.0,3.09,4.32,2.91,1.4,1.5,56.28,0.96,18.01,7.76,2.36,10.91,3.14,1,1006
49.41,13.44,13.38,7.49,99.16,10491.0,10.0,5.0,10.0,25.0,4.5,4.69,32.3,30.7,22.9,22.4,2.0,2.2,0.51,1.09,0.53,2.2,2.1,1.4,1.0,1.0,51.24,1.81,13.94,13.88,5.9,7.77,4.5,1,2270
66.45,15.61,4.43,3.92,100.27,2638.0,90.0,7.0,33.0,52.0,3.3,1.6,105.2,64.9,17.1,7.7,4.5,26.9,0.22,4.5,0.08,9.8,20.4,13.7,2.1,2.2,66.85,0.44,15.7,4.46,1.57,3.94,3.82,0,1865
63.42,16.69,5.13,4.28,99.7,4078.93,69.0,10.0,24.0,59.0,7.0,3.42,77.8,73.6,36.0,16.4,2.5,9.89,0.4,2.8,0.14,3.44,7.04,4.75,2.05,2.2,63.97,0.69,16.83,5.18,1.84,4.31,4.34,1,1019
54.68,17.03,4.71,12.44,100.59,3597.0,9.0,24.0,41.0,92.0,6.8,1.77,132.9,113.6,34.9,8.5,1.7,1.3,0.58,13.45,2.63,6.1,23.3,15.7,3.8,4.1,54.69,0.6,17.03,4.71,5.51,12.44,3.98,0,1671
48.83,14.71,11.42,7.03,98.55,6774.0,3.0,8.0,12.0,29.0,6.6,6.05,37.1,36.1,33.8,28.9,1.4,0.48,0.7,1.34,2.53,1.7,1.9,1.3,1.09,1.17,51.6,1.19,15.54,12.07,6.56,7.43,4.85,1,642
62.85,16.9,4.93,4.74,99.88,2998.0,88.0,15.0,43.0,80.0,4.4,0.73,138.5,99.2,22.8,3.5,2.9,19.76,0.34,20.08,0.17,9.7,58.8,39.6,6.08,6.52,63.45,0.5,17.06,4.98,2.51,4.79,3.7,1,593
66.59,15.89,2.05,2.39,99.99,2670.0,57.0,24.0,35.0,64.0,3.6,1.75,113.8,79.3,18.3,8.4,1.5,15.8,0.67,13.59,0.42,9.9,20.2,13.6,2.0,2.2,68.56,0.46,16.36,2.11,1.83,2.46,5.04,1,2537
62.46,15.72,5.35,4.34,98.34,4496.0,42.0,8.0,22.0,27.0,1.4,0.21,70.6,33.4,7.0,1.0,2.7,30.9,0.37,38.76,0.19,16.0,104.3,70.3,6.5,7.0,64.04,0.77,16.12,5.49,2.73,4.45,4.43,0,1635
78.2,13.2,0.53,1.07,101.78,959.0,1.0,9.0,45.0,90.0,5.9,1.97,146.1,111.0,30.3,9.4,4.9,0.2,0.2,4.67,9.2,7.7,23.0,15.5,3.0,3.2,77.49,0.16,13.08,0.53,0.12,1.06,7.44,1,2535
60.79,17.06,5.2,6.06,100.55,4137.0,35.0,6.0,36.0,68.0,5.8,0.9,117.1,84.2,29.7,4.3,6.0,6.0,0.17,6.78,0.17,6.3,40.3,27.2,6.4,6.9,60.68,0.69,17.03,5.19,3.13,6.05,4.94,2,1287
59.64,17.18,6.96,5.44,100.04,3537.0,41.0,5.0,14.0,26.0,2.7,1.86,46.3,32.2,13.7,8.9,3.1,15.5,0.32,2.47,0.11,5.4,7.7,5.2,1.4,1.5,60.21,0.6,17.34,7.03,2.78,5.49,4.36,0,2620
50.98,21.84,7.1,9.45,99.66,3622.05,76.0,10.0,27.0,58.0,5.9,3.21,86.2,71.3,30.2,15.4,2.6,12.86,0.38,3.18,0.13,4.54,8.32,5.61,1.83,1.96,51.55,0.61,22.08,7.18,3.99,9.56,3.31,1,1017
48.53,18.22,10.74,7.67,99.73,5755.0,53.0,4.0,2.0,14.0,0.3,0.1,6.5,17.0,1.7,0.5,0.5,155.9,2.2,44.0,0.08,5.9,20.0,13.5,3.4,3.6,50.04,0.99,18.79,11.07,4.2,7.91,2.84,0,1778
70.29,14.05,3.1,2.39,99.82,1978.0,226.0,5.0,24.0,48.0,4.2,2.72,78.1,59.0,21.3,13.0,4.5,54.3,0.22,1.99,0.02,5.8,8.9,6.0,1.5,1.6,71.13,0.33,14.22,3.14,1.08,2.42,2.73,0,2858
42.48,8.7,6.45,14.25,99.14,7853.0,226.0,14.0,124.0,256.0,22.0,1.03,400.0,316.8,112.8,4.9,9.1,10.27,0.11,13.3,0.06,5.64,120.39,81.17,21.36,22.89,43.42,1.34,8.89,6.59,15.82,14.57,1.0,2,871
47.3,13.9,13.54,8.1,100.04,16786.0,47.0,77.0,45.0,87.0,8.0,1.5,144.5,107.7,41.0,7.2,0.6,5.88,1.72,51.33,1.64,5.6,29.9,20.1,5.33,5.72,47.28,2.8,13.89,13.54,6.5,8.1,4.5,2,493
48.08,14.95,9.64,9.48,98.32,14628.0,25.0,38.0,50.0,110.0,10.0,1.76,161.0,136.1,51.3,8.4,1.3,2.54,0.76,21.65,1.5,5.0,28.4,19.1,5.68,6.09,49.57,2.52,15.41,9.94,5.77,9.77,4.52,2,819
62.42,16.56,4.01,4.53,100.03,3021.0,49.0,6.0,28.0,52.0,4.1,0.76,89.7,64.1,20.9,3.6,4.7,12.0,0.21,7.76,0.12,6.8,36.6,24.7,5.4,5.7,63.89,0.52,16.95,4.1,1.64,4.64,5.33,0,2397
62.3,18.2,2.64,1.76,99.75,2698.0,51.0,12.0,38.0,67.0,2.3,0.32,121.9,83.4,11.6,1.5,3.2,22.39,0.31,36.56,0.23,16.7,118.1,79.6,7.06,7.57,68.16,0.49,19.91,2.89,0.18,1.93,3.4,0,632
50.78,15.21,11.32,7.5,99.66,12530.0,16.0,10.0,16.0,39.0,7.1,5.05,52.3,48.0,36.3,24.2,1.6,2.3,0.62,1.98,0.63,2.3,3.2,2.2,1.4,1.5,51.94,2.14,15.56,11.58,4.91,7.67,5.1,1,1996
